customer_id,tenure_months,monthly_charges,support_calls,contract_type,churn
CUST0001,52,106.7,0,Monthly,0
CUST0002,15,60.8,7,Monthly,0
CUST0003,72,75.17,2,Annual,1
CUST0004,61,45.39,5,Monthly,0
CUST0005,21,39.61,2,Annual,0
CUST0006,24,70.55,6,Annual,0
CUST0007,3,79.5,6,Monthly,1
CUST0008,22,53.93,8,Annual,0
CUST0009,53,76.94,4,Annual,0
CUST0010,2,108.75,7,Monthly,1
CUST0011,30,75.67,9,Annual,0
CUST0012,38,92.08,9,Annual,1
CUST0013,2,100.53,7,Annual,1
CUST0014,64,118.87,0,Annual,1
CUST0015,60,80.32,4,Monthly,1
CUST0016,21,100.69,2,Annual,1
CUST0017,33,116.26,0,Annual,0
CUST0018,58,114.44,3,Annual,0
CUST0019,22,34.11,7,Annual,0
CUST0020,49,60.64,2,Monthly,0
CUST0021,59,52.4,9,Annual,0
CUST0022,42,28.69,1,Monthly,0
CUST0023,60,83.32,8,Annual,1
CUST0024,15,93.59,9,Monthly,1
CUST0025,62,104.81,4,Monthly,1
CUST0026,62,32.28,6,Monthly,1
CUST0027,47,107.64,1,Monthly,0
CUST0028,62,84.29,8,Monthly,0
CUST0029,51,90.39,8,Annual,0
CUST0030,55,111.06,3,Annual,0
CUST0031,64,82.48,3,Annual,0
CUST0032,3,53.59,5,Monthly,1
CUST0033,51,102.51,9,Annual,0
CUST0034,7,56.31,9,Monthly,0
CUST0035,21,23.42,9,Monthly,0
CUST0036,39,103.07,5,Annual,1
CUST0037,18,54.52,0,Annual,0
CUST0038,4,97.38,8,Monthly,1
CUST0039,60,56.28,1,Monthly,0
CUST0040,14,106.11,4,Annual,1
CUST0041,9,41.95,8,Annual,0
CUST0042,53,117.45,3,Annual,1
CUST0043,2,97.98,2,Annual,0
CUST0044,60,31.42,6,Monthly,1
CUST0045,71,76.58,5,Annual,0
CUST0046,44,118.54,7,Annual,0
CUST0047,8,67.11,2,Annual,0
CUST0048,47,38.21,4,Monthly,0
CUST0049,35,68.48,9,Monthly,0
CUST0050,36,71.25,3,Monthly,0
CUST0051,50,94.17,3,Monthly,0
CUST0052,4,89.88,3,Annual,1
CUST0053,2,60.26,9,Monthly,1
CUST0054,6,41.8,7,Annual,1
CUST0055,54,84.51,5,Annual,0
CUST0056,4,62.17,2,Annual,1
CUST0057,54,33.23,9,Annual,0
CUST0058,63,110.06,4,Monthly,0
